

Таблица лексем
01 nfi()
02 {
03 zl;
04 r;
05 }
07 tfi(ti)
08 {
09 ri;
10 }
12 m
13 {
14 ti=lvlv(lvlvlvlvl)vlvl;
15 zi;
17 i();
19 ti=l;
20 ti=i(i);
21 zi;
23 ti=l;
24 ti=l;
26 ti=i(i,i);
27 ti=i(i,i);
29 zi;
30 zi;
32 w:iql|{zl;}
33 ?
34 {zl;}
36 ti=lvl;
37 ti=lvl;
38 ti=lvl;
39 ti=lvl;
40 ti=lvl;
42 zi;
43 zi;
44 zi;
45 zi;
46 zi;
48 ti=l;
50 ti=l;
51 ti=l;
53 ti=ivi;
55 zi;
56 zi;
57 zi;
59 ti=l;
60 zi;
62 ti=l;
63 zi;
65 ti=l;
66 zi;
68 ti=l;
69 i=l;
70 zi;
72 ti=l;
73 zi;
75 ti=l;
76 zi;
78 ti=ivi;
79 zi;
81 ti=i(i)vl;
82 ti=i(i);
84 zi;
85 zi;
87 ti;
89 w:iqi|{i=l;}
90 ?
91 {i=l;}
93 zi;
94 }
